frame.time_epoch,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len,tcp.flags
"1780652676.718017000","49.44.153.228","192.168.31.178","6","443","52060",,,"54","0x0010"
"1780652676.723239200","49.44.153.228","192.168.31.178","6","443","52060",,,"360","0x0018"
"1780652676.729211800",,,,"443","52061",,,"74","0x0010"
"1780652676.729213100",,,,"443","52061",,,"332","0x0018"
"1780652676.729520000","192.168.31.178","49.44.153.228","6","52060","443",,,"375","0x0018"
"1780652676.733982300",,,,"52061","443",,,"161","0x0018"
"1780652676.734131100",,,,"52061","443",,,"237","0x0018"
"1780652676.755861200",,,,"443","52061",,,"74","0x0010"
"1780652676.755862000",,,,"443","52061",,,"74","0x0010"
"1780652676.755862800",,,,"443","52061",,,"146","0x0018"
"1780652676.755863600",,,,"443","52061",,,"114","0x0018"
"1780652676.755864500",,,,"443","52061",,,"454","0x0018"
"1780652676.755941300",,,,"52061","443",,,"86","0x0010"
"1780652676.756020100",,,,"52061","443",,,"74","0x0010"
"1780652676.756816300",,,,"52061","443",,,"112","0x0018"
"1780652676.757167500",,,,"52061","443",,,"74","0x0011"
"1780652676.773475800","49.44.153.228","192.168.31.178","6","443","52060",,,"471","0x0018"
"1780652676.785149600","192.168.31.178","192.168.31.1","17",,,"50490","53","94",
"1780652676.785244000",,,,"443","52061",,,"74","0x0010"
"1780652676.785406700","192.168.31.178","192.168.31.1","17",,,"49152","53","94",
"1780652676.786022300",,,,"443","52061",,,"74","0x0010"
"1780652676.786022800",,,,"443","52061",,,"74","0x0010"
"1780652676.786023300",,,,"443","52061",,,"105","0x0018"
"1780652676.786023600",,,,"443","52061",,,"74","0x0011"
"1780652676.786075300",,,,"52061","443",,,"74","0x0014"
"1780652676.804026700","192.168.31.178","98.70.194.72","6","52062","443",,,"66","0x0002"
"1780652676.812568500","192.168.31.1","192.168.31.178","17",,,"53","50490","204",
"1780652676.815777400","192.168.31.178","49.44.153.228","6","52060","443",,,"54","0x0010"
"1780652676.824096300","192.168.31.1","192.168.31.178","17",,,"53","49152","246",
"1780652676.825282700","192.168.31.178","49.44.153.228","6","52063","443",,,"66","0x0002"
"1780652676.865935300","49.44.153.228","192.168.31.178","6","443","52063",,,"66","0x0012"
"1780652676.866084700","192.168.31.178","49.44.153.228","6","52063","443",,,"54","0x0010"
"1780652676.867485800","192.168.31.178","49.44.153.228","6","52063","443",,,"271","0x0018"
"1780652676.873013400","98.70.194.72","192.168.31.178","6","443","52062",,,"54","0x0014"
"1780652676.883384800","40.79.163.155","192.168.31.178","6","443","52056",,,"101","0x0018"
"1780652676.883442800","192.168.31.178","40.79.163.155","6","52056","443",,,"54","0x0010"
"1780652676.889236700","40.79.163.155","192.168.31.178","6","443","52056",,,"574","0x0018"
"1780652676.889332800","192.168.31.178","40.79.163.155","6","52056","443",,,"54","0x0010"
"1780652676.904292000","49.44.153.228","192.168.31.178","6","443","52063",,,"54","0x0010"
"1780652676.910366900","49.44.153.228","192.168.31.178","6","443","52063",,,"1316","0x0010"
"1780652676.910367800","49.44.153.228","192.168.31.178","6","443","52063",,,"1316","0x0018"
"1780652676.910368500","49.44.153.228","192.168.31.178","6","443","52063",,,"1316","0x0010"
"1780652676.910482400","192.168.31.178","49.44.153.228","6","52063","443",,,"54","0x0010"
"1780652676.911036400","49.44.153.228","192.168.31.178","6","443","52063",,,"364","0x0018"
"1780652676.911117000","192.168.31.178","49.44.153.228","6","52063","443",,,"54","0x0010"
"1780652676.951139600","49.44.153.228","192.168.31.178","6","443","52063",,,"1316","0x0010"
"1780652676.951152400","49.44.153.228","192.168.31.178","6","443","52063",,,"1316","0x0018"
"1780652676.951152900","49.44.153.228","192.168.31.178","6","443","52063",,,"1316","0x0010"
"1780652676.951253700","192.168.31.178","49.44.153.228","6","52063","443",,,"54","0x0010"
"1780652676.951788900","49.44.153.228","192.168.31.178","6","443","52063",,,"320","0x0018"
"1780652676.951814600","192.168.31.178","49.44.153.228","6","52063","443",,,"54","0x0010"
"1780652676.955099800","192.168.31.178","49.44.153.228","6","52063","443",,,"180","0x0018"
"1780652676.996069800","49.44.153.228","192.168.31.178","6","443","52063",,,"54","0x0010"
"1780652677.001350300","49.44.153.228","192.168.31.178","6","443","52063",,,"360","0x0018"
"1780652677.007462200","192.168.31.178","49.44.153.228","6","52063","443",,,"411","0x0018"
"1780652677.051617000","49.44.153.228","192.168.31.178","6","443","52063",,,"203","0x0018"
"1780652677.051618200","49.44.153.228","192.168.31.178","6","443","52063",,,"1316","0x0010"
"1780652677.051685400","192.168.31.178","49.44.153.228","6","52063","443",,,"66","0x0010"
"1780652677.051768800","192.168.31.178","49.44.153.228","6","52063","443",,,"54","0x0010"
"1780652677.324142500",,,,"55186","443",,,"75","0x0010"
"1780652677.360469800",,,,"443","55186",,,"86","0x0010"
"1780652677.388080500","192.168.31.178","98.70.194.72","6","52062","443",,,"66","0x0002"
"1780652677.471056100","98.70.194.72","192.168.31.178","6","443","52062",,,"54","0x0014"
"1780652677.717015300","192.168.31.1","224.0.0.1","2",,,,,"50",
"1780652677.717016500",,,,,,,,"90",
"1780652677.717782700",,,,,,,,"90",
"1780652677.971133600","192.168.31.178","98.70.194.72","6","52062","443",,,"66","0x0002"
"1780652678.032017000","192.168.31.178","224.0.0.22","2",,,,,"62",
"1780652678.032170300",,,,,,,,"190",
"1780652678.041519200","98.70.194.72","192.168.31.178","6","443","52062",,,"54","0x0014"
"1780652678.200740900","192.168.31.178","104.18.8.25","6","62611","443",,,"583","0x0018"
"1780652678.200801500","192.168.31.178","104.18.8.25","6","62608","443",,,"583","0x0018"
"1780652678.457996700","192.168.31.178","104.18.8.25","6","62609","443",,,"583","0x0018"
"1780652678.458086000","192.168.31.178","104.18.8.25","6","62610","443",,,"583","0x0018"
"1780652678.526345700","192.168.31.178","224.0.0.22","2",,,,,"54",
